431,Lennar
432,Sanmina
433,Harley-Davidson
434,CONSOL Energy
435,J.M. Smucker
436,Newell Rubbermaid
437,CH2M HILL Companies
438,Energy Future
439,Susser Holdings
440,Laboratory Corporation of America
441,Kindred Healthcare
442,Leidos
443,Booz Allen Hamilton
444,Jones Financial
445,Cliffs Natural Resources
446,PulteGroup
447,Regions Financial
448,NiSource
449,Graybar Electric
450,Integrys Energy Group
451,Clorox
452,Wynn Resorts
453,The Andersons
454,J.B. Hunt
455,AK Steel
456,Harbinger Group
457,MeadWestvaco
458,Western Union
459,Charles Schwab
460,Discovery Communications
461,Spectra Energy
462,St. Jude Medical
463,CF Industries
464,Con-way
465,Old Republic International
466,JetBlue
467,Calumet Specialty Products
468,Kelly Services
469,Domtar
470,Murphy Oil
471,Harris
472,Asbury Automotive Group
473,Big Lots
474,Advanced Micro Devices
475,Owens Corning
476,Realogy
477,Host Hotels & Resorts
478,MRC Global
479,Simon Property Group
480,Tractor Supply
481,Gannett
482,Alaska Air
483,Insight Enterprises
484,McGraw Hill
485,Buckeye Partners
486,Quintiles Transnational
487,American Financial Group
488,United Stationers
489,Coach
490,LKQ
491,Noble Energy
492,Bemis
493,Joy Global
494,Wyndham
495,NII Holdings
496,Lorillard
497,Alleghany Corporation
498,Airgas
499,First American Financial
500,United Rentals
