"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"New York","1","Business Products & Services","sequent-learning-networks","NY","3107877","New York","New York City","2736","Sequent Learning Networks","136.4683","25701","14"
"Andover","2","Business Products & Services","leadbridge","MA","2622248","Massachusetts","Boston","2737","LeadBridge","136.4618","23630","25"
"Houston","3","Energy","black-elk-energy","TX","258008000","Texas","Houston","2738","Black Elk Energy","136.4096","21070","181"
"Deer Park","3","Energy","jones-industrial-holdings","TX","159981711","Texas","Houston","2739","Jones Industrial Holdings","136.3278","1215","643"
"Austin","2","Software","bridge360","TX","6036028","Texas","Austin","2740","Bridge360","136.3171","23664","58"
"Conshohocken","2","IT Services","think-brownstone","PA","5304863","Pennsylvania","Philadelphia","2741","Think Brownstone","136.3043","21863","42"
"Farmington Hills","2","Financial Services","atlantis-mortgage","MI","2537742","Michigan","Detroit","2742","Atlantis Mortgage","136.2956","23730","18"
"Irvine","2","Advertising & Marketing","rhythm-interactive","CA","5000492","California","Los Angeles","2743","Rhythm Interactive","136.2915","24162","29"
"Austin","2","Advertising & Marketing","invenio-solutions","TX","40881699","Texas","Austin","2744","Invenio Solutions","136.2787","23789","537"
"Alpharetta","4","Software","the-rainmaker-group","GA","28023000","Georgia","Atlanta","2745","The Rainmaker Group","136.2418","20381","102"
"Raleigh","1","Human Resources","accuro","NC","4394207","North Carolina","Raleigh-Cary, NC","2746","Accuro","135.846","26112","75"
"Phillipsburg","1","Retail","luxury-divas","NJ","3161817","New Jersey","New York City","2747","Luxury Divas","135.8196","24933","13"
"San Diego","2","Advertising & Marketing","motive-interactive","CA","19104601","California","San Diego","2748","Motive Interactive","135.8119","17831","23"
"Lenexa","2","IT Services","nuvento","KS","5201809","Kansas","Kansas City, MO-KS","2749","Nuvento","135.6673","23360","55"
"Franklin","1","Health","enablecomp","TN","5400854","Tennessee","Nashville","2750","EnableComp","135.5909","26163","49"
"Austin","2","Construction","structura","TX","45776073","Texas","Austin","2751","Structura","135.3314","20672","96"
"Southlake","2","Consumer Products & Services","the-boardroom-salon-for-men","TX","4303751","Texas","Dallas","2752","The Boardroom Salon for Men","135.0273","24233","90"
"Austin","2","Construction","pacific-shore-stones","TX","35464809","Texas","Austin","2753","Pacific Shore Stones","135.0103","24017","90"
"Orlando","1","Real Estate","real-estate-closing-solutions","FL","2033305","Florida","Orlando, FL","2754","Real Estate Closing Solutions","135.0058","25746","10"
"Ocala","1","Consumer Products & Services","america-choice-rv","FL","36946465","Florida","Ocala, FL","2755","America Choice RV","134.9657","25577","98"
"Atlanta","2","Business Products & Services","healthlink-dimensions","GA","4309000","Georgia","Atlanta","2756","HealthLink Dimensions","134.9509","24376","13"
"West Hartford","2","IT Services","it-direct","CT","3276860","Connecticut","Hartford-West Hartford-East Hartford, CT","2757","IT Direct","134.8719","24005","20"
"San Antonio","6","Health","carenet-healthcare-services","TX","35358440","Texas","San Antonio, TX","2758","Carenet Healthcare Services","134.7917","486","689"
"Los Angeles","2","Manufacturing","sencha-naturals","CA","3231961","California","Los Angeles","2759","Sencha Naturals","134.7217","23910","8"
"Lawrenceville","1","Human Resources","einstein-hr","GA","27306679","Georgia","Atlanta","2760","Einstein HR","134.6377","26348","2157"
"Santa Monica","4","Retail","krisers","CA","14167161","California","Los Angeles","2761","Kriser's","134.5876","20937","150"
"Wilmington","3","Health","synchrogenix-information-strategies","DE","13408184","Delaware","Philadelphia","2762","Synchrogenix Information Strategies","134.5826","22736","100"
"Westbury","1","Retail","elegante-custom-stone-boutique-by-zicana","NY","3008359","New York","New York City","2763","Elegante Custom Stone Boutique by Zicana","134.5765","25763","14"
"Chicago","1","Manufacturing","progressive-coating","IL","3777300","Illinois","Chicago","2764","Progressive Coating","134.5678","26537","34"
"Broomall","3","IT Services","partners-consulting","PA","5594414","Pennsylvania","Philadelphia","2765","Partner's Consulting","134.4973","22248","55"
"Independence","5","Human Resources","everstaff-international","OH","23890009","Ohio","Cleveland","2766","Everstaff International","134.4718","18365","51"
"Lanham","1","Construction","closet-america","MD","5562108","Maryland","Washington, DC","2767","Closet America","134.4147","25369","50"
"Durham","3","Education","research-square","NC","16557604","North Carolina","Durham, NC","2768","Research Square","134.2386","21512","118"
"Statesville","4","Business Products & Services","the-tharperobbins-company","NC","192586000","North Carolina","Hickory-Lenoir-Morganton, NC","2769","The TharpeRobbins Company","134.1272","18418","319"
"Delray Beach","3","Financial Services","gateway-commercial-finance","FL","3478568","Florida","Miami","2770","Gateway Commercial Finance","133.9555","22330","12"
"Itasca","1","IT Services","transtech-it-staffing","IL","34572360","Illinois","Chicago","2771","TransTech IT Staffing","133.8215","25775","239"
"Nashville","1","Travel & Hospitality","travelink","TN","159132882","Tennessee","Nashville","2772","Travelink","133.7586","25355","105"
"St. Paul","2","IT Services","davenport-group","MN","8980334","Minnesota","Minneapolis","2773","Davenport Group","133.6983","23940","16"
"Chicago","5","IT Services","singlehop","IL","29249000","Illinois","Chicago","2774","SingleHop","133.6587","17291","100"
"LaVergne","3","Manufacturing","powder-x-coating-systems","TN","4566694","Tennessee","Nashville","2775","Powder X Coating Systems","133.6353","2411","3"
"Columbus","8","IT Services","navigator-management-partners","OH","32609027","Ohio","Columbus, OH","2776","Navigator Management Partners","133.6006","784","133"
"Brighton","1","IT Services","ivantage-group","MI","8692653","Michigan","Detroit","2777","iVantage Group","133.5984","25197","79"
"Orlando","4","Software","powerdms","FL","4880000","Florida","Orlando, FL","2778","PowerDMS","133.4928","21933","47"
"Boulder","1","Software","slice-of-lime","CO","2212502","Colorado","Boulder, CO","2779","Slice of Lime","133.4185","24822","17"
"Deerfield","2","Health","veritas-health","IL","2824000","Illinois","Chicago","2780","Veritas Health","133.3884","24306","20"
"San Luis Obispo","3","Logistics & Transportation","meathead-movers","CA","7245632","California","San Luis Obispo-Paso Robles, CA","2781","Meathead Movers","133.3278","22493","200"
"Culver CIty","5","Security","security-industry-specialist","CA","118291203","California","Los Angeles","2782","Security Industry Specialist","133.2343","8488","3565"
"Traverse City","1","Business Products & Services","tentcraft","MI","5351051","Michigan","Traverse City, MI","2783","TentCraft","133.1628","25547","27"
"Dayton","2","Manufacturing","prime-controls-dayton-oh","OH","2725932","Ohio","Dayton, OH","2784","Prime Controls (Dayton, OH)","133.1215","24102","13"
"Arlington Heights","10","Human Resources","paylocity","IL","77294000","Illinois","Chicago","2785","Paylocity","133.0609","3090","838"
"Midland","4","Manufacturing","falcon-asphalt-repair-equipment","MI","6118112","Michigan","Bay City, MI","2786","Falcon Asphalt Repair Equipment","132.8827","18098","40"
"Maplewood","1","Insurance","titlesmart","MN","4842714","Minnesota","Minneapolis","2787","TitleSmart","132.8132","25481","34"
"Austin","3","Manufacturing","us-micro-products","TX","18336505","Texas","Austin","2788","US Micro Products","132.8045","22035","18"
"New York","4","IT Services","enstoa","NY","8088027","New York","New York City","2789","Enstoa","132.7372","19321","42"
"Chandler","6","Travel & Hospitality","its-infinity-trading","AZ","14672945","Arizona","Phoenix","2790","ITS Infinity Trading","132.6103","1883","43"
"Blue Bell","1","Advertising & Marketing","gen3-marketing","PA","5459136","Pennsylvania","Philadelphia","2791","Gen3 Marketing","132.5306","24868","22"
"Houston","1","Construction","rottet-studio","TX","11285762","Texas","Houston","2792","Rottet Studio","132.5162","25942","41"
"Greenville","5","Insurance","insurance-applications-group","SC","8247966","South Carolina","Greenville-Mauldin-Easley, SC","2793","Insurance Applications Group","132.4395","795","24"
"San Francisco","4","Human Resources","riviera-partners","CA","13980000","California","San Francisco","2794","Riviera Partners","132.3803","20200","61"
"New York","2","Media","northern-lights-post","NY","16445046","New York","New York City","2795","Northern Lights Post","132.2743","11471","41"
"Cincinnati","1","Consumer Products & Services","513-ventures","OH","3035000","Ohio","Cincinnati","2796","513 Ventures","132.2112","25686","27"
"Rolling Meadows","4","Business Products & Services","rf-ideas","IL","33069338","Illinois","Chicago","2797","RF IDeas","132.1348","21974","38"
"St. Louis","1","Engineering","ascent","MO","12263275","Missouri","St. Louis, MO-IL","2798","Ascent","132.1297","22878","134"
"Annapolis","7","Business Products & Services","radius-annapolis-md","MD","34675000","Maryland","Baltimore","2799","Radius (Annapolis, MD)","132.0485","78","94"
"Washington","2","Government Services","hassett-willis","DC","13204652","District of Columbia","Washington, DC","2800","Hassett Willis","131.8753","17745","60"
"Lowell","4","Government Services","central-research","AR","6739317","Arkansas","Fayetteville-Springdale-Rogers, AR-MO","2801","Central Research","131.8477","19927","59"
"West Babylon","1","Manufacturing","visual-citi","NY","13254901","New York","New York City","2802","Visual Citi","131.7843","26560","125"
"Cumming","1","IT Services","snap-technology","GA","2224249","Georgia","Atlanta","2803","Snap Technology","131.7481","24804","12"
